Survey_type,StudentID,Duration,Q1_1,Q1_2,Q1_score,Q2_1,Q2_2,Q2_score,Q3_1,Q3_2,Q3_score,Q4_1,Q4_2,Q4_score,Q5_1,Q5_2,Q5_score,Q6_1,Q6_2,Q6_score,Q1_1_n,Q2_1_n,Q3_1_n,Q4_1_n,Q5_1_n,Q6_1_n,CRT_1,CRT_2,CRT_3,CRT_1_knew,CRT_2_knew,CRT_3_knew,Age,Gender,Education
大学,2111140004,631,いいえ,喫煙者と非喫煙者それぞれの肺疾患ありの人の割合は同じだから。,4,賛成,データからだと暴力経験はゲーム時間に比例しているから。,1,賛成,都市化が進むと人が増えるので、それに伴って交通量や汚染状況も増加すると思うから。,1,賛成,出生数を死亡数が上回っているから。,1,反対,直近7年間のデータだとそれほど変動していないから。,2,はい,データからだと関係しているように見えるから。,0,0,1,1,1,0,1,,,,,,,,,
大学,2111140043,574,はい,データから見て、そう読み取れる,0,賛成,データから見て、そう読み取れる,0,賛成,河川のPCB濃度が上がっていると、都市化が進んでいると思うから,0,賛成,1960年頃と比べると出生数より、死亡数の方が多くなっているから,1,賛成,少しずつではあるが、実際に増えているのでパトロールの人数を増やすと良いと思う,1,はい,データから見てもそう読み取れる,0,1,1,1,1,1,1,,,,,,,,,
大学,2111140042,650,はい,喫煙者であり、なおかつ肺疾患ありの数値が一番高いから,1,賛成,ゲームのプレイ時間が増えるにつれ、「暴力経験が多い」の割合が増えているから,1,賛成,交通量および河川の汚染状況の数値が両方とも増えているから,1,賛成,1970年あたりからずっと出生数のグラフが死亡数のグラフを下回っているから。,1,賛成,微々ではあるが、表を全体的に見て、数は増えているから,1,はい,非活動的な生活を送っている場合、皮膚アレルギーありの割合の方が多く、活動的な生活を送っている場合、皮膚アレルギーなしの割合の方が多いから。,1,1,1,1,1,1,1,,,,,,,,,
大学,2111140094,919,いいえ,喫煙者、非喫煙者のそれぞれ6割が肺疾患があるため喫煙が原因であるとは言えない,4,賛成,遊ぶ時間が長くなること比例して、暴力経験が多い人も増えているから,1,賛成,交通量が年々増加傾向にあるから,0,賛成,出生数が減少傾向にある一方で死亡数が増加傾向にあるから,1,反対,全年度で見た場合、犯罪件数は増えたり減ったりとバラつきがあるため増えるといえないから,2,はい,非活動的な生活を行っている人の約8割が皮膚のアレルギーがあるから,1,0,1,1,1,0,1,,,,,,,,,
大学,2111140056,1143,いいえ,喫煙者のほうが、非喫煙者よりも多くのアンケートを取っているかつ、どちらも疾患がある人のほうが多いから。,1,反対,直接的な要因であると断定できないから。,3,反対,交通量の増加は1990年代から2000年にかけて車が普及したことや、道路の整備が行われて増加したことが考えられ、河川の汚染状況は、1リットル当たりの濃度は最も高くて0.004なので、あまり高いといえないことから、10年間で都市化が進んでいるとは言えない。,4,賛成,出生数に比べて死亡数が多くなっていることから、人口が減少していると考えられるから。,1,反対,2005年と2006年と同じくらい犯罪件数が増加、減少している年が他にもあることから、年度ごとに20～30件の差は出るものであると考えられるから。,2,いいえ,アレルギーがあるから、活動的な生活を送れない人もいるため。,3,0,0,0,1,0,0,,,,,,,,,
大学,2111140077,1267,いいえ,喫煙者、非喫煙者ともに肺疾患の有無の比は3:2となっており、差がないため。,4,反対,暴力経験の少ない～多いの定義が定量的でないため、評価の軸としての信用度が十分でないから。,3,賛成,車、PCB利用の増加は近代化に伴う現象の一つであると考えられるから。,1,反対,出生数と死亡数のデータからわかるのは、年度ごとの人口の増減だけであり、子供の人口比率まではわからないから。,4,反対,2000年から2006年までの6年間で見ると、犯罪件数に大きな変化はないため。,2,いいえ,データからだけでは、因果関係における原因と結果までは読み取れないから。 「非活動的な非活が皮膚アレルギーを引き起こす」のか、「皮膚アレルギーがあるから非活動的な生活になっている」のかは明確でないと考える。,4,0,0,1,0,0,0,,,,,,,,,
大学,2111140019,772,いいえ,これだけのデータでは言い切れないと思うから,2,賛成,データ通りに増えているから,1,賛成,この二つのデータはどちらも人口が増えると増えてしまうデータだから。,1,賛成,出生数が死亡数を,0,反対,6年間のデータを見ると増えている年もあれば減っている年もあるから,2,いいえ,皮膚アレルギー持ちが原因の可能性があるから,3,0,1,1,1,0,0,,,,,,,,,
大学,2111140060,1445,いいえ,このグラフでは合計人数が250人で喫煙者は150人、非喫煙者は100である。 喫煙者：非喫煙者＝３：２であることがわかる。 肺疾患あり：なし＝３：２であるため、喫煙は起因していないと考えた。,4,賛成,時間が増えるにつれて、「中の上」、「多い」の割合が多くなるが、一方「少ない」、「中の下」の割合は小さくなっていることがわかるため。,1,賛成,「交通量の変化」と「河川の汚染状況」は比例して増加しているため,1,賛成,グラフを見ると、出生数と死亡数が分布していることがわかる。出生数が死亡数を上回れば、ドイツの人口が増加していて、逆に出生数が死亡数を下回れば、ドイツの人口は減少している。グラフから約1970年までは人口が増加しているが、それ以降は人口が減少しているとわかる。よって、ドイツは人口増加に必要な”十分な数の子どもがいない”と考えた。,1,反対,2000年と2006年を比較すれば、犯罪件数は増加していると分かるが、一年単位で比較をすると、増えたり、減ったりを繰り返しているので一概に増加しているとはわからないため,2,はい,グラフを見ると、「皮膚アレルギーあり・日活動的な生活」、「皮膚アレルギーなし・活動的な生活」が多いため,1,0,1,1,1,0,1,,,,,,,,,
大学,2111140053,1637,いいえ,全体的に「喫煙者」かつ「肺疾患あり」に属する人が多く、「喫煙者」に対する「肺疾患あり」の割合が「非喫煙者」に対する「肺疾患あり」の割合と一致するから。,4,反対,テレビゲームを遊ぶ時間が増えるにつれて、暴力経験が多い割合が増えている。しかし、これはあくまで割合であり、ゲームをする時間における人数の分布が分からないと正確なことは言えない。さらに、てれびゲームをしない人間からも暴力経験が多い人間がいることから一概にそうとは言えないと判断した。,4,賛成,河川の汚染、交通量はともにその町の人口が増えていることを意味する。「都市化」を人口増加ととらえるならば、この町は都市化が進んでいるといえるだろう。,2,反対,近年、出生数が死亡数よりも少なくなっているが、これは「十分な数の子ども」の数には関係がないから。,3,反対,犯罪件数に対して、増加量が少なすぎるうえに、2003年に至っては減少しているのでこれからも増加していくとは限らないから。,3,はい,アレルギーがある人とない人、活動的な人と非活動的な人がそれぞれほとんど同じ数ずついて、その多くが「非活動的」かつ「アレルギーあり」もしくは「活動的」かつ「アレルギーなし」にあてはまるから。,1,0,0,1,0,0,1,,,,,,,,,
大学,1811140002,2326,いいえ,喫煙者の肺疾患の有無の比は3:2。また、非喫煙者も3:2であり、このことからこの人たちの肺疾患は喫煙に起因していないと考えました。,4,反対,「暴力をふるったことがない」という項目がなく、そもそも暴力を振るう人の母数がわからないので反対です。,3,反対,ただこの街のグラフからだけでは判断がつきません。国やもっと広い範囲で自動車の保有台数があがっていた場合、この町独特の変化ではないと言えるからです。また、河川の汚染状況に関しても他の地域と比較する必要があると感じました。,4,反対,「十分な数の子ども」の定義が明らかではありませんし、現状どれくらいの年齢別人口比率なのかも定かではありません。,4,賛成,"それぞれの年度の犯罪件数の増減は上から+24,-3,-26,+30,-11,+20であり、なにもしていない年も犯罪件数が減っているので直近２年間の増減だけで犯罪件数が増加すると考えるのは的外れだと思います。しかしパトロールが増えて治安がよくなるに越したことはないのでパトロールの人数を増やすことには賛成です。",3,いいえ,人数が少なく、どこで取得したデータかが明記されていないためこのデータが正確でない可能性があるからです。,2,0,0,0,0,1,0,,,,,,,,,
